"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2019,1,78,"EXO","LOVE SHOT - The 5th Album Repackage","트라우마 (Trauma)","트라우마","",4,0,1
2019,1,80,"김나영","오답","오답","오답","",2,0,0
2019,1,82,"BLACKPINK","SQUARE UP","Forever Young","","Forever Young",0,13,1
2019,1,84,"정승환","라이프 OST Part 6","잘 지내요","잘 지내요","",5,0,0
2019,1,85,"루피(Loopy)","쇼미더머니 777 Episode 3","Save","","Save",0,4,1
2019,1,87,"BTS","LOVE YOURSELF 結 `Answer`","Euphoria","","Euphoria",0,8,1
2019,1,88,"마마무 (Mamamoo)","RED MOON","너나 해 (Egotistic)","너나 해","",4,0,1
2019,1,89,"엠씨더맥스 (M.C The Max)","Circular","그걸로 나는 충분해요","그걸로 나는 충분해요","",11,0,0
2019,1,90,"EXO","LOVE SHOT - The 5th Album Repackage","Wait","","Wait",0,4,1
2019,1,92,"로꼬 (LOCO), 화사","건반 위의 하이에나 Part.4","주지마","주지마","",3,0,0
2019,1,93,"멜로망스(Melomance)","투유 프로젝트 - 슈가맨2 Part.2","You","","You",0,3,1
2019,1,94,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","Gravity","","Gravity",0,7,1
2019,1,95,"황치열","그대가 내 안에 박혔다","그대가 내 안에 박혔다","그대가 내 안에 박혔다","",12,0,0
2019,1,97,"승리","THE GREAT SEUNGRI","셋 셀테니 (1, 2, 3!)","셋 셀테니","",5,0,0
2019,1,98,"엠씨더맥스 (M.C The Max)","Circular","너의 목소리가 들려","너의 목소리가 들려","",10,0,0
2019,1,99,"BTS","LOVE YOURSELF 轉 `Tear`","전하지 못한 진심","전하지 못한 진심","",9,0,0
2019,1,100,"멜로망스(Melomance)","The Fairy Tale","동화","동화","",2,0,0
2019,1,101,"Red Velvet","Summer Magic - Summer Mini Album","Power Up","","Power Up",0,8,1
2019,1,102,"Wanna One (워너원)","0+1=1 (I PROMISE YOU)","BOOMERANG (부메랑)","","BOOMERANG",0,9,1
2019,1,103,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","닿은 순간 (Ooh La La La)","닿은 순간","",5,0,1
2019,1,105,"정승환","눈사람","눈사람","눈사람","",3,0,0
2019,1,106,"이수","돈꽃 OST Part 1","My Way","","My Way",0,6,1
2019,1,107,"청하","Offset","Roller Coaster","","Roller Coaster",0,14,1
2019,1,108,"BTS","LOVE YOURSELF 結 `Answer`","Answer : Love Myself","","Answer   Love Myself",0,20,1
