year,time,rank,song_title,artist,album
2019,1,94,Gravity,EXO,DON`T MESS UP MY TEMPO - The 5th Album
2019,1,95,그대가 내 안에 박혔다,황치열,그대가 내 안에 박혔다
2019,1,96,Universe,EXO,"Universe - 겨울 스페셜 앨범, 2017"
2019,1,97,"셋 셀테니 (1, 2, 3!)",승리,THE GREAT SEUNGRI
2019,1,98,너의 목소리가 들려,엠씨더맥스 (M.C The Max),Circular
2019,1,99,전하지 못한 진심 (Feat. Steve Aoki),BTS,LOVE YOURSELF 轉 `Tear`
2019,1,100,동화,멜로망스(Melomance),The Fairy Tale
2019,1,101,Power Up,Red Velvet,Summer Magic - Summer Mini Album
2019,1,102,BOOMERANG (부메랑),Wanna One (워너원),0+1=1 (I PROMISE YOU)
2019,1,103,닿은 순간 (Ooh La La La),EXO,DON`T MESS UP MY TEMPO - The 5th Album
2019,1,104,크리스마스니까,"성시경, 박효신 (朴孝信), 이석훈, 서인국, 빅스 (VIXX)",Jelly Christmas 2012 Heart Project
2019,1,105,눈사람,정승환,눈사람
2019,1,106,My Way,이수,돈꽃 OST Part 1
2019,1,107,Roller Coaster,청하,Offset
2019,1,108,Answer : Love Myself,BTS,LOVE YOURSELF 結 `Answer`
2019,1,109,넋두리,닐로 (Nilo),넋두리
2019,1,110,켜줘 (Light),Wanna One (워너원),1÷χ=1 (UNDIVIDED)
2019,1,111,24/7,EXO,DON`T MESS UP MY TEMPO - The 5th Album
2019,1,112,1도 없어,에이핑크 (Apink),ONE & SIX
2019,1,113,뿜뿜,모모랜드 (MOMOLAND),GREAT!
2019,1,114,Youth,XXXXX,Blue Neighbourhood (Deluxe)
2019,1,115,What is Love?,TWICE,What is Love?
2019,1,116,We all lie,하진 (HAJIN),SKY 캐슬 OST Part.4
2019,1,117,소년점프 (Feat. 배기성),마미손,소년점프
2019,1,118,사랑은 다 이러니,홍진영,사랑은 다 이러니
2019,1,119,POP/STARS,"(여자)아이들, Madison Beer, Jaira Burns",POP/STARS
2019,1,120,별이 빛나는 밤,마마무 (Mamamoo),Yellow Flower
2019,1,121,사임사임 (Feat. CHANGMO),"Coogie, 수퍼비 (SUPERBEE), D.Ark",쇼미더머니 777 Episode 1
2019,1,122,이 밤이 특별해진 건,어반 자카파 (Urban Zakapa),-5
2019,1,123,불꽃놀이 (Flowerbomb),Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
2019,1,124,좋니,윤종신,LISTEN 010 좋니
2019,1,125,취하고 싶다 (Prod. By 전태익),황인욱,취하고 싶다
2019,1,126,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비)
2019,1,127,Sign,EXO,DON`T MESS UP MY TEMPO - The 5th Album
2019,1,128,여기 있을게 (Smile On My Face),EXO,DON`T MESS UP MY TEMPO - The 5th Album
2019,1,129,Believer,XXXXX,Evolve
2019,1,130,한(一),(여자)아이들,한(一)
2019,1,131,술래,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
2019,1,132,Is You,에일리(Ailee),알함브라 궁전의 추억 OST Part 3
2019,1,133,SoulMate (Feat. 아이유),지코 (ZICO),SoulMate
2019,1,134,밤 (Time for the moon night),여자친구 (GFRIEND),여자친구 The 6th Mini Album `Time for the moon night`
2019,1,135,Thunder,XXXXX,Evolve
2019,1,136,Epiphany,BTS,LOVE YOURSELF 結 `Answer`
2019,1,137,Attention,XXXXX,Voicenotes
2019,1,138,집,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
2019,1,139,그때가 좋았어,케이시 (Kassy),그때가 좋았어
2019,1,140,좋은 날,멜로망스(Melomance),미스터 션샤인 OST Part 5
2019,1,141,I Was Born To Love You,Queen,Made In Heaven (2011 Remaster)
2019,1,142,물그림,엠씨더맥스 (M.C The Max),Circular
2019,1,143,가끔 (With You),EXO,DON`T MESS UP MY TEMPO - The 5th Album
2019,1,144,약속해요 (I.P.U.),Wanna One (워너원),약속해요 (I.P.U.) - Special Theme Track
2019,1,145,그대 나를 일으켜주면,카더가든,더 팬 3ROUND Part.1
2019,1,146,이 별,길구봉구,Star
2019,1,147,Anpanman,BTS,LOVE YOURSELF 轉 `Tear`
2019,1,148,"All Falls Down (Feat. Noah Cyrus, Digital Farm Animals)",XXXXX,Different World
2019,1,149,all of my life,박원,0M
2019,1,150,Damage,EXO,DON`T MESS UP MY TEMPO - The 5th Album
2019,1,151,올해 제일 잘한 일,TWICE,The year of `YES`
2019,1,152,오아시스 (Oasis),EXO,DON`T MESS UP MY TEMPO - The 5th Album
2019,1,153,후폭풍 (Bad Dream),EXO,DON`T MESS UP MY TEMPO - The 5th Album
2019,1,154,어디에도,엠씨더맥스 (M.C The Max),pathos
2019,1,155,Somebody To Love,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST)
2019,1,156,Love Yourself,XXXXX,Purpose (Deluxe Edition)
2019,1,157,Radio Ga Ga (Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST)
2019,1,158,붕붕 (Feat. Sik-K) (Prod. GroovyRoom),김하온 (HAON),고등래퍼2 Final
2019,1,159,매트리스,10cm,4.1
2019,1,160,북향 (Feat. 오혁),다이나믹 듀오 (Dynamic Duo),북향
2019,1,161,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,시차 (We Are)
2019,1,162,소나기 (Feat. 10cm),용준형,소나기
2019,1,163,instagram,DEAN,instagram
2019,1,164,REALLY REALLY,위너(WINNER),FATE NUMBER FOR
2019,1,165,팔레트 (Feat. G-DRAGON),아이유 (IU),Palette
2019,1,166,묻고싶다 (One Love),Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
2019,1,167,One Call Away,XXXXX,Nine Track Mind (Deluxe)
2019,1,168,Love U,청하,Blooming Blue
2019,1,169,We Don`t Talk Anymore (Feat. Selena Gomez),XXXXX,Nine Track Mind (Deluxe)
2019,1,170,마지막처럼,BLACKPINK,마지막처럼
2019,1,171,Closer (Feat. Halsey),XXXXX,Collage
2019,1,172,밤이 되니까,펀치 (Punch),밤이 되니까
2019,1,173,come out and play,XXXXX,come out and play
2019,1,174,꽃 길,BIGBANG (빅뱅),꽃 길
2019,1,175,Heart Shaker,TWICE,Merry & Happy
2019,1,176,My Trouble,볼빨간사춘기 (BOL4),WHY : 당신이 연인에게 차인 진짜 이유 OST Part.1
2019,1,177,There`s Nothing Holdin` Me Back,XXXXX,Illuminate (New Deluxe Ver.)
2019,1,178,Beautiful (Part ll),Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
2019,1,179,Something Just Like This,XXXXX,Memories...Do Not Open
2019,1,180,Chandelier,XXXXX,Chandelier
2019,1,181,가,엠씨더맥스 (M.C The Max),Circular
2019,1,182,너였다면,정승환,또 오해영 OST Part 5
2019,1,183,노력,박원,1/24
2019,1,184,소나무,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
2019,1,185,명동콜링,카더가든,더 팬 2ROUND Part.1
2019,1,186,I`m Not The Only One,XXXXX,In The Lonely Hour
2019,1,187,Faded,XXXXX,Faded
2019,1,188,Deeper,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
2019,1,189,NoNo (Feat. 사이먼 도미닉) (Prod. 코드 쿤스트),루피(Loopy),쇼미더머니 777 Semi Final
2019,1,190,별 보러 가자,박보검,별 보러 가자
2019,1,191,나의 사춘기에게,볼빨간사춘기 (BOL4),Red Diary Page.1
2019,1,192,Awake!,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
2019,1,193,빨간 맛 (Red Flavor),Red Velvet,The Red Summer - Summer Mini Album
2019,1,194,Beautiful,크러쉬 (CRUSH),도깨비 OST Part 4
2019,1,195,Radio Ga Ga (2011 Remaster),Queen,The Works (2011 Remaster)
2019,1,196,폰서트,10cm,4.0
2019,1,197,Someone Like You,Adele,21
2019,1,198,죽겠다 (KILLING ME),iKON,NEW KIDS : CONTINUE
2019,1,199,FRIENDS,XXXXX,FRIENDS
2019,1,200,LATATA,(여자)아이들,I am
2020,1,1,METEOR,창모 (CHANGMO),Boyhood
2020,1,2,Psycho,Red Velvet,`The ReVe Festival` Finale
2020,1,3,"아마두 (Feat. 우원재, 김효은, 넉살, Huckleberry P)","염따 (YumDDa), 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉 (Simon Dominic)",Dingo X DAMOIM (Part 2)
2020,1,4,Blueming,아이유 (IU),Love poem
2020,1,5,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
2020,1,6,Square (2017),백예린,Every letter I sent you.
2020,1,7,HIP,마마무 (Mamamoo),reality in BLACK
2020,1,8,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어"
2020,1,9,Love poem,아이유 (IU),Love poem
2020,1,10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2020,1,11,Into the Unknown,XXXXX,XXXXX
2020,1,12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
2020,1,13,나의 오랜 연인에게,다비치,나의 오랜 연인에게
2020,1,14,조금 취했어 (Prod. 2soo),임재현,조금 취했어
2020,1,15,안녕,폴킴,호텔 델루나 OST Part.10
2020,1,16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
2020,1,17,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
2020,1,18,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",헤어진 우리가 지켜야 할 것들
2020,1,19,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백
2020,1,20,이 번호로 전화해줘,바이브 (Vibe),이 번호로 전화해줘
2020,1,21,빌었어,창모 (CHANGMO),Boyhood
2020,1,22,새 사랑,송하예,새 사랑
2020,1,23,2002,XXXXX,Speak Your Mind (Deluxe)
2020,1,24,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),BTS,MAP OF THE SOUL : PERSONA
